Latitude,Longitude,Angle,Speed (km/h),HDOP
37.497117,127.0281,339.3,54.1,1.0
37.497233,127.028033,339.3,54.1,1.0
37.497367,127.027967,339.3,54.1,1.0
37.497483,127.027917,339.3,54.1,1.0
37.497617,127.02785,339.3,54.1,1.0
37.49775,127.0278,337.9,35.9,1.0
37.497833,127.02775,334.7,35.9,1.0
37.4979,127.0277,314.3,35.9,1.0
37.497967,127.027617,301.3,35.9,1.0
37.498017,127.027517,282.5,35.9,1.0
37.498033,127.027417,264.1,35.9,1.0
37.498033,127.0273,248.0,35.9,1.0
37.498,127.0272,251.0,35.9,1.0
37.497967,127.027083,249.7,35.9,1.0
37.497933,127.026983,249.7,35.9,1.0
