Latitude,Longitude,Angle,Speed (km/h),HDOP
37.49635,127.0283,326.0,72.0,1.0
37.4965,127.028183,347.4,72.0,1.0
37.496667,127.028133,336.0,72.0,1.0
37.496833,127.028033,335.1,72.0,1.0
37.497,127.027933,335.1,72.0,1.0
37.497167,127.02785,351.5,72.0,1.0
37.497333,127.027817,337.6,72.0,1.0
37.4975,127.027717,320.4,69.5,1.0
37.497633,127.027583,338.5,69.6,1.0
37.4978,127.0275,328.8,65.7,1.0
37.49795,127.0274,292.6,66.5,1.0
37.498,127.0272,251.0,100.2,1.0
37.497917,127.0269,249.3,72.0,1.0
37.497867,127.0267,245.6,72.0,1.0
37.497783,127.026483,245.6,72.0,1.0
37.497717,127.026283,256.4,72.0,1.0
37.497667,127.026067,256.4,72.0,1.0
37.497633,127.025833,256.4,72.0,1.0
