Latitude,Longitude,Angle,Speed (km/h),HDOP
37.497083,127.028167,345.1,35.9,1.0
37.497167,127.02815,345.1,35.9,1.0
37.49725,127.028117,345.1,35.9,1.0
37.497333,127.028083,345.1,35.9,1.0
37.497433,127.02805,345.1,35.9,1.0
37.497517,127.028033,345.1,35.9,1.0
37.4976,127.028,1.6,18.0,1.0
37.49765,127.028,1.6,18.0,1.0
37.497683,127.028,22.6,18.0,1.0
37.497733,127.028017,22.6,18.0,1.0
37.497767,127.02805,22.6,18.0,1.0
37.497817,127.028067,29.9,18.0,1.0
37.49785,127.0281,29.9,18.0,1.0
37.4979,127.028117,29.9,18.0,1.0
37.497933,127.02815,29.9,18.0,1.0
37.497967,127.028183,44.8,18.0,1.0
37.498,127.028217,44.8,18.0,1.0
37.498033,127.028267,44.8,18.0,1.0
37.498067,127.0283,44.8,18.0,1.0
37.4981,127.028333,69.3,18.0,1.0
37.498117,127.0284,69.3,18.0,1.0
37.498133,127.02845,69.3,18.0,1.0
37.49815,127.0285,69.3,18.0,1.0
