Latitude,Longitude,Angle,Speed (km/h),HDOP
37.496533,127.028617,336.3,72.0,1.0
37.4967,127.028533,336.3,72.0,1.0
37.496867,127.028433,336.3,72.0,1.0
37.497017,127.02835,324.0,72.0,1.0
37.497167,127.028217,324.0,72.0,1.0
37.497317,127.028083,319.8,90.6,1.0
37.497483,127.0279,10.9,98.9,1.0
37.497733,127.02795,355.0,78.7,1.0
37.497933,127.027933,30.9,66.3,1.0
37.498067,127.028033,64.4,63.2,1.0
37.498133,127.028217,70.2,72.0,1.0
37.4982,127.028433,70.2,72.0,1.0
37.498267,127.02865,47.7,72.0,1.0
37.498383,127.028817,74.5,72.0,1.0
37.498433,127.029033,74.5,72.0,1.0
37.498483,127.02925,74.5,72.0,1.0
