Latitude,Longitude,Angle,Speed (km/h),HDOP
37.496717,127.028083,339.2,35.9,1.0
37.4968,127.028033,339.2,35.9,1.0
37.496883,127.028,339.2,35.9,1.0
37.496967,127.027967,339.2,35.9,1.0
37.49705,127.027917,339.2,35.9,1.0
37.497133,127.027883,349.9,33.3,1.0
37.497217,127.027867,330.2,39.8,1.0
37.4973,127.0278,339.2,35.9,1.0
37.497383,127.027767,326.5,43.0,1.0
37.497467,127.027683,356.6,31.7,1.0
37.49755,127.027683,339.2,35.9,1.0
37.497633,127.027633,339.2,35.9,1.0
37.497717,127.0276,59.8,410.2,1.0
37.498233,127.028717,249.9,404.7,1.0
37.497883,127.027517,324.1,43.2,1.0
37.497967,127.027433,359.5,32.4,1.0
37.49805,127.027433,355.0,35.9,1.0
37.49815,127.027433,312.3,50.7,1.0
37.498233,127.027317,4.0,31.1,1.0
37.4983,127.027317,339.2,35.9,1.0
37.498383,127.027283,339.2,35.9,1.0
37.498467,127.027233,339.2,35.9,1.0
37.49855,127.0272,0.6,40.0,1.0
37.49865,127.0272,316.4,37.8,1.0
37.498733,127.027117,326.8,42.8,1.0
37.498817,127.027033,356.0,31.7,1.0
37.4989,127.027033,339.2,35.9,1.0
37.498983,127.027,339.2,35.9,1.0
37.499067,127.02695,339.2,35.9,1.0
37.49915,127.026917,339.2,35.9,1.0
